*,WRH00001.tif,3,14,11,1942,14,50,61,,,,,,,,19,,1,,1,,,,2,,,,4,3,4,5,1
4,,21,40,8,30,1,00,6,00,,,6
,,7,20,15,30,,,,,,,2
,,7,20,21,00,,,,,,,3
,,,,,,,,,,,,
,,20,50,7,30,,,6,00,,,5
,,21,40,7,30,,,6,00,,,6
9,,,,,,,,,,,,
A,,,,,,,,,,,,
4,,8,30,21,00,3,40,,,,,
4,C,8,30,23,00,5,40,1,00,,,
,,,,,,,,,,,,
,,7,20,15,30,,,,,,,2
,,7,20,21,00,,,,,,,3
,,15,20,21,50,,,,,,,4
4,,20,50,8,30,1,00,6,00,,,5
4,,21,40,8,30,1,00,6,00,,,6
1,,,,,,,,,,,,
,,,,,,,,,,,,
4,,7,20,16,30,1,00,,,,,2
C,5,7,20,21,00,,,,,,,3
,,15,20,21,50,,,,,,,4
,,20,50,7,30,,,6,00,,,5
,,21,40,7,30,,,6,00,,,6
,,,,,,,,,,,,
,,,,,,,,,,,,
4,,7,20,16,30,1,00,,,,,2
4,,7,20,21,30,,30,,,,,3
1,,15,20,21,50,,,,,,,4
,,20,50,7,30,,,6,00,,,5
,,21,40,7,38,,,6,00,,,6
,,,,,,,,,,,,
*,WRH00002.tif,1,14,11,1977,32,43,2,48,32,53,,20,1,20,18,,2,,1,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,,8,30,17,20,,,,,,,
1,,8,30,17,20,,,,,,,
4,,8,30,17,50,,30,,,,,
4,,8,30,21,35,4,15,,,,,
2,-,8,30,17,20,,,,,7,50,
,,,,,,,,,,,,
4,7,8,50,22,30,5,10,,30,,,
1,,8,30,17,20,,,,,,,
4,,8,30,22,41,5,21,,41,,,
8,,8,30,16,00,,,,,,,
9,,,,,,,,,,,,
2,,8,30,22,00,,,,,12,30,
,,,,,,,,,,,,
,,8,30,21,44,4,24,,,,,
A,,,,,,,,,,,,
3,,6,00,17,20,1,30,,,,,
4,,8,30,23,37,6,17,1,37,,,
4,,8,30,18,20,1,00,,,,,
2,,8,30,16,39,,,,,7,09,
,,,,,,,,,,,,
9,,,,,,,,,,,,
1,,8,30,17,20,,,,,,,
4,,8,30,19,56,2,36,,,,,
1,,8,30,17,20,,,,,,,
4,,8,30,09,00,1,40,,,,,
2,,9,58,16,22,,,,,5,24,
,,,,,,,,,,,,
,,,,,,,,,,,,
*,WRH00003.tif,2,14,11,2193,6,53,6,,16,6,1,51,,30,19,,1,,1,,,4,1,1,1,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,7,00,15,30,,,,,,,1
,,7,00,15,30,,,,,,,1
,,7,00,15,30,,,,,,,1
,,7,00,15,30,,,,,,,1
,,,,,,,,,,,,
,,,,,,,,,,,,
1,,8,30,17,20,,,,,,,
1,,8,30,17,20,,,,,,,
4,,8,30,19,00,1,40,,,,,
4,,8,30,19,23,2,03,,,,,
7,4,9,21,19,30,2,10,,,,,
2,,8,30,19,36,,,,,18,6,
,,,,,,,,,,,,
A,,,,,,,,,,,,
,,15,00,23,30,,,1,30,,,2
,,15,00,23,30,,,1,30,,,2
B,,15,00,23,30,,,1,30,,,2
C,,15,00,23,30,,,1,30,,,2
C,2,10,00,19,00,,,,,-8,00,
,,,,,,,,,,,,
9,,,,,,,,,,,,
7,,7,30,15,30,,,,,,,1
7,4,7,30,16,30,1,00,,,,,1
8,,7,00,15,00,,,,,,,1
,,7,00,15,30,,,,,,,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
*,WRH00004.tif,3,14,11,1942,14,50,61,,,,,,,,19,,1,,1,,,,2,,,,4,3,4,5,1
4,,21,40,8,30,1,00,6,00,,,6
,,7,20,15,30,,,,,,,2
,,7,20,21,00,,,,,,,3
,,,,,,,,,,,,
,,20,50,7,30,,,6,00,,,5
,,21,40,7,30,,,6,00,,,6
9,,,,,,,,,,,,
A,,,,,,,,,,,,
4,,8,30,21,00,3,40,,,,,
4,C,8,30,23,00,5,40,1,00,,,
,,,,,,,,,,,,
,,7,20,15,30,,,,,,,2
,,7,20,21,00,,,,,,,3
,,15,20,21,50,,,,,,,4
4,,20,50,8,30,1,00,6,00,,,5
4,,21,40,8,30,1,00,6,00,,,6
1,,,,,,,,,,,,
,,,,,,,,,,,,
4,,7,20,16,30,1,00,,,,,2
C,5,7,20,21,00,,,,,,,3
,,15,20,21,50,,,,,,,4
,,20,50,7,30,,,6,00,,,5
,,21,40,7,30,,,6,00,,,6
,,,,,,,,,,,,
,,,,,,,,,,,,
4,,7,20,16,30,1,00,,,,,2
4,,7,20,21,30,,30,,,,,3
1,,15,20,21,50,,,,,,,4
,,20,50,7,30,,,6,00,,,5
,,21,40,7,38,,,6,00,,,6
,,,,,,,,,,,,
